Location,Fish Type,Date,Time,Water Temp (F),Outside Temp (F),Depth,Lure Used,Length (in),Weight (lb),Moon Phase,Notes
Brazos River,Panfish,2024-07-03,6:30 AM,61.0,66.0,Deep,Worm,34.1,4.22,Waxing,Caught during Waxing moon using worm
Lake Travis,Panfish,2024-08-29,6:30 AM,69.0,70.0,Mid,Small jig,11.3,1.53,Waxing,Caught during Waxing moon using small jig
Lake Houston,Panfish,2024-01-28,12:00 PM,70.0,70.0,Deep,Small jig,20.5,2.39,Waxing,Caught during Waxing moon using small jig
Guadalupe River,Panfish,2024-07-05,9:00 PM,67.0,70.0,Shallow,Worm,32.1,3.37,Waxing,Caught during Waxing moon using worm
"Paris, TX",Gar,2024-04-29,8:00 AM,75.0,74.0,Shallow,Fish parts,15.9,1.84,Full,Caught during Full moon using fish parts
Brazos River,Bass,2024-12-26,12:00 PM,82.0,84.0,Shallow,Spinnerbait,20.2,2.69,New,Caught during New moon using spinnerbait
San Marcos River,Crappie,2024-07-11,12:00 PM,75.0,75.0,Mid,Minnow,18.8,2.72,New,Caught during New moon using minnow
Brazos River,Crappie,2024-12-13,5:00 PM,61.0,66.0,Shallow,Tube jig,12.2,1.86,Waxing,Caught during Waxing moon using tube jig
Lake Travis,Catfish,2024-10-18,9:00 PM,68.0,73.0,Shallow,Cut bait,14.5,1.81,Full,Caught during Full moon using cut bait
Lake Houston,Bass,2024-06-23,8:00 AM,61.0,66.0,Deep,Soft plastic,24.1,3.0,New,Caught during New moon using soft plastic
Lady Bird Lake,Catfish,2024-11-09,8:00 AM,66.0,67.0,Deep,Chicken liver,16.1,1.97,New,Caught during New moon using chicken liver
Lake Travis,Gar,2024-03-05,5:00 PM,67.0,72.0,Deep,Fish parts,30.8,3.33,Waning,Caught during Waning moon using fish parts
Lady Bird Lake,Gar,2024-01-11,5:00 PM,83.0,84.0,Mid,Crayfish,32.1,4.3,Full,Caught during Full moon using crayfish
Lake Travis,Gar,2024-06-09,6:30 AM,75.0,74.0,Deep,Fish parts,21.5,2.36,Full,Caught during Full moon using fish parts
"Paris, TX",Panfish,2024-11-17,12:00 PM,81.0,84.0,Mid,Worm,35.6,4.29,Waning,Caught during Waning moon using worm
Guadalupe River,Crappie,2024-12-04,9:00 PM,60.0,62.0,Deep,Jig,34.8,4.67,Full,Caught during Full moon using jig
Lady Bird Lake,Gar,2024-09-16,12:00 PM,61.0,61.0,Deep,Live bait,19.1,2.44,Waning,Caught during Waning moon using live bait
Lady Bird Lake,Crappie,2024-08-10,12:00 PM,70.0,71.0,Mid,Tube jig,27.5,3.8,Full,Caught during Full moon using tube jig
Brazos River,Bass,2024-07-14,9:00 PM,74.0,73.0,Deep,Spinnerbait,13.1,1.34,New,Caught during New moon using spinnerbait
Lake Travis,Panfish,2024-02-02,9:00 PM,60.0,57.0,Shallow,Worm,25.3,2.61,Full,Caught during Full moon using worm
Brazos River,Gar,2024-05-02,8:00 AM,63.0,61.0,Shallow,Fish parts,9.3,1.11,Waning,Caught during Waning moon using fish parts
Lake Houston,Panfish,2024-05-14,9:00 PM,67.0,70.0,Deep,Small jig,35.6,4.41,Waxing,Caught during Waxing moon using small jig
Guadalupe River,Panfish,2024-03-24,9:00 PM,84.0,89.0,Mid,Worm,26.7,2.98,Full,Caught during Full moon using worm
San Marcos River,Panfish,2024-11-06,9:00 PM,79.0,81.0,Shallow,Small jig,26.0,3.27,Waning,Caught during Waning moon using small jig
Canyon Lake,Panfish,2024-02-08,8:00 AM,70.0,69.0,Deep,Small jig,12.0,1.9,New,Caught during New moon using small jig
San Marcos River,Panfish,2024-03-03,12:00 PM,73.0,70.0,Mid,Small jig,9.5,1.35,Waxing,Caught during Waxing moon using small jig
Guadalupe River,Panfish,2024-10-01,9:00 PM,67.0,72.0,Deep,Fly,8.5,1.06,Waxing,Caught during Waxing moon using fly
"Paris, TX",Catfish,2024-03-06,12:00 PM,73.0,76.0,Deep,Punch bait,13.1,1.53,Waxing,Caught during Waxing moon using punch bait
Brazos River,Bass,2024-03-14,9:00 PM,66.0,67.0,Shallow,Soft plastic,29.9,3.1,Full,Caught during Full moon using soft plastic
Lake Houston,Catfish,2024-10-31,12:00 PM,62.0,59.0,Shallow,Cut bait,11.4,1.82,New,Caught during New moon using cut bait
Guadalupe River,Bass,2024-12-22,9:00 PM,75.0,76.0,Shallow,Spinnerbait,11.0,1.64,Waxing,Caught during Waxing moon using spinnerbait
Guadalupe River,Panfish,2024-10-22,8:00 AM,69.0,74.0,Shallow,Fly,13.4,1.75,Waxing,Caught during Waxing moon using fly
Lake Travis,Bass,2024-06-05,5:00 PM,64.0,65.0,Deep,Crankbait,19.0,1.87,New,Caught during New moon using crankbait
Guadalupe River,Bass,2024-05-11,6:30 AM,64.0,68.0,Shallow,Spinnerbait,31.2,3.49,Full,Caught during Full moon using spinnerbait
Canyon Lake,Crappie,2024-04-03,8:00 AM,75.0,76.0,Mid,Tube jig,28.5,3.67,Waxing,Caught during Waxing moon using tube jig
Canyon Lake,Catfish,2024-10-31,5:00 PM,64.0,63.0,Mid,Punch bait,35.3,4.62,Waxing,Caught during Waxing moon using punch bait
Lake Houston,Panfish,2024-05-30,6:30 AM,72.0,77.0,Shallow,Fly,12.9,1.65,Waning,Caught during Waning moon using fly
Canyon Lake,Panfish,2024-09-19,5:00 PM,71.0,72.0,Deep,Worm,19.2,2.23,Waning,Caught during Waning moon using worm
Lake Travis,Gar,2024-09-03,8:00 AM,82.0,87.0,Deep,Fish parts,8.0,0.82,Waning,Caught during Waning moon using fish parts
Lady Bird Lake,Catfish,2024-04-19,12:00 PM,76.0,74.0,Deep,Cut bait,25.4,2.68,Waning,Caught during Waning moon using cut bait
Brazos River,Bass,2024-10-01,9:00 PM,66.0,68.0,Shallow,Crankbait,12.4,1.7,Waxing,Caught during Waxing moon using crankbait
Lake Houston,Catfish,2024-06-09,9:00 PM,81.0,86.0,Shallow,Chicken liver,16.5,1.7,New,Caught during New moon using chicken liver
Guadalupe River,Gar,2024-08-09,6:30 AM,70.0,75.0,Mid,Crayfish,20.0,2.5,Full,Caught during Full moon using crayfish
Brazos River,Panfish,2024-08-24,9:00 PM,85.0,86.0,Mid,Fly,33.7,4.5,New,Caught during New moon using fly
Brazos River,Bass,2024-11-25,5:00 PM,83.0,87.0,Shallow,Crankbait,17.2,2.21,New,Caught during New moon using crankbait
San Marcos River,Catfish,2024-10-26,5:00 PM,66.0,69.0,Deep,Chicken liver,8.3,1.49,Waxing,Caught during Waxing moon using chicken liver
Canyon Lake,Bass,2024-10-14,6:30 AM,83.0,81.0,Deep,Crankbait,27.5,2.93,Waxing,Caught during Waxing moon using crankbait
Canyon Lake,Bass,2024-10-19,8:00 AM,62.0,62.0,Shallow,Spinnerbait,9.2,0.83,Full,Caught during Full moon using spinnerbait
Lake Houston,Gar,2024-08-21,6:30 AM,60.0,60.0,Shallow,Fish parts,16.1,1.71,New,Caught during New moon using fish parts
Lake Travis,Crappie,2024-12-31,5:00 PM,66.0,64.0,Shallow,Minnow,23.1,2.36,Full,Caught during Full moon using minnow
Lake Houston,Catfish,2024-06-26,8:00 AM,75.0,80.0,Mid,Chicken liver,9.0,1.14,New,Caught during New moon using chicken liver
Lake Houston,Gar,2024-06-23,6:30 AM,73.0,76.0,Mid,Live bait,27.7,3.79,Waning,Caught during Waning moon using live bait
Canyon Lake,Bass,2024-05-08,8:00 AM,70.0,71.0,Mid,Soft plastic,24.7,3.09,Waxing,Caught during Waxing moon using soft plastic
"Paris, TX",Crappie,2024-03-29,5:00 PM,82.0,87.0,Deep,Jig,20.2,2.91,Full,Caught during Full moon using jig
Lake Travis,Crappie,2024-10-27,8:00 AM,71.0,75.0,Shallow,Minnow,34.8,4.31,Waning,Caught during Waning moon using minnow
Lake Houston,Bass,2024-03-01,6:30 AM,85.0,84.0,Deep,Soft plastic,12.3,1.96,Waxing,Caught during Waxing moon using soft plastic
Lake Travis,Panfish,2024-03-02,9:00 PM,76.0,80.0,Mid,Fly,35.1,4.19,Waning,Caught during Waning moon using fly
Lake Travis,Gar,2024-12-17,5:00 PM,83.0,88.0,Shallow,Live bait,34.9,3.92,New,Caught during New moon using live bait
Lake Houston,Gar,2024-07-29,9:00 PM,75.0,74.0,Shallow,Crayfish,9.9,0.93,Waning,Caught during Waning moon using crayfish
Lake Travis,Crappie,2024-08-24,8:00 AM,82.0,81.0,Deep,Jig,20.3,2.57,Waxing,Caught during Waxing moon using jig
San Marcos River,Catfish,2024-05-21,8:00 AM,82.0,81.0,Shallow,Cut bait,27.6,3.25,New,Caught during New moon using cut bait
"Paris, TX",Panfish,2024-08-16,9:00 PM,82.0,84.0,Deep,Worm,11.7,1.67,New,Caught during New moon using worm
Brazos River,Panfish,2024-09-30,12:00 PM,61.0,61.0,Mid,Worm,27.2,2.96,New,Caught during New moon using worm
Brazos River,Bass,2024-03-13,9:00 PM,79.0,84.0,Mid,Crankbait,24.0,2.75,New,Caught during New moon using crankbait
"Paris, TX",Catfish,2024-01-27,9:00 PM,84.0,84.0,Shallow,Punch bait,19.3,2.45,Waxing,Caught during Waxing moon using punch bait
Lady Bird Lake,Crappie,2024-03-15,6:30 AM,76.0,80.0,Deep,Tube jig,11.0,1.35,Waxing,Caught during Waxing moon using tube jig
Lady Bird Lake,Bass,2024-01-29,6:30 AM,60.0,63.0,Shallow,Crankbait,26.0,3.19,Full,Caught during Full moon using crankbait
Brazos River,Gar,2024-12-26,12:00 PM,60.0,58.0,Mid,Fish parts,9.4,0.99,New,Caught during New moon using fish parts
Lake Houston,Catfish,2024-09-13,9:00 PM,67.0,72.0,Mid,Cut bait,18.4,2.05,Full,Caught during Full moon using cut bait
Canyon Lake,Bass,2024-10-03,8:00 AM,60.0,59.0,Shallow,Soft plastic,22.0,2.23,Waning,Caught during Waning moon using soft plastic
Guadalupe River,Crappie,2024-12-04,8:00 AM,73.0,72.0,Deep,Jig,23.3,2.51,Waning,Caught during Waning moon using jig
Brazos River,Bass,2024-09-11,9:00 PM,65.0,70.0,Shallow,Crankbait,26.0,3.55,Waxing,Caught during Waxing moon using crankbait
Guadalupe River,Panfish,2024-11-30,9:00 PM,78.0,82.0,Deep,Small jig,21.5,2.47,New,Caught during New moon using small jig
Lake Houston,Crappie,2024-05-22,6:30 AM,81.0,84.0,Deep,Jig,31.1,3.74,Full,Caught during Full moon using jig
"Paris, TX",Crappie,2024-10-21,9:00 PM,67.0,70.0,Deep,Tube jig,21.3,2.66,New,Caught during New moon using tube jig
Canyon Lake,Catfish,2024-09-21,6:30 AM,82.0,84.0,Mid,Chicken liver,24.6,2.9,Full,Caught during Full moon using chicken liver
Canyon Lake,Panfish,2024-10-31,8:00 AM,72.0,77.0,Shallow,Small jig,35.2,4.42,Waning,Caught during Waning moon using small jig
Brazos River,Catfish,2024-07-05,6:30 AM,75.0,77.0,Deep,Cut bait,24.0,2.9,Waxing,Caught during Waxing moon using cut bait
San Marcos River,Catfish,2024-11-27,5:00 PM,62.0,65.0,Deep,Chicken liver,17.0,1.88,New,Caught during New moon using chicken liver
Lake Travis,Panfish,2024-01-01,5:00 PM,85.0,86.0,Deep,Fly,33.6,4.02,Waning,Caught during Waning moon using fly
"Paris, TX",Catfish,2024-10-09,8:00 AM,66.0,66.0,Shallow,Cut bait,21.0,2.56,Waxing,Caught during Waxing moon using cut bait
Guadalupe River,Catfish,2024-03-23,8:00 AM,67.0,69.0,Shallow,Punch bait,26.4,2.85,Waning,Caught during Waning moon using punch bait
Brazos River,Catfish,2024-09-28,8:00 AM,72.0,75.0,Mid,Punch bait,30.1,3.9,Waxing,Caught during Waxing moon using punch bait
San Marcos River,Catfish,2024-11-25,5:00 PM,74.0,71.0,Shallow,Chicken liver,13.2,1.23,Waxing,Caught during Waxing moon using chicken liver
Canyon Lake,Catfish,2024-11-28,5:00 PM,84.0,86.0,Shallow,Chicken liver,20.5,2.18,Waning,Caught during Waning moon using chicken liver
Lady Bird Lake,Panfish,2024-02-25,5:00 PM,80.0,73.45801526717557,Deep,Small jig,20.55,2.565,Full,Caught during Full moon using small jig
Lake Houston,Catfish,2024-03-24,6:30 AM,79.0,77.0,Unknown,Unknown,19.2,2.565,Waning,Caught during Waning moon using cut bait
Brazos River,Panfish,2024-06-19,8:00 AM,68.0,68.0,Mid,Fly,20.55,2.565,New,Caught during New moon using fly
"Paris, TX",Crappie,2024-10-08,12:00 PM,77.0,82.0,Unknown,Minnow,20.0,2.565,Waxing,No additional info
Brazos River,Crappie,2024-07-03,8:00 AM,66.0,64.0,Unknown,Jig,27.5,3.1,Waxing,No additional info
"Paris, TX",Panfish,2024-01-27,5:00 PM,79.0,73.45801526717557,Unknown,Fly,28.7,3.9,Unknown,Caught during Full moon using fly
San Marcos River,Bass,2024-11-19,6:30 AM,71.83703703703704,78.0,Shallow,Crankbait,20.55,2.17,Unknown,Caught during Waning moon using crankbait
Lake Travis,Catfish,2024-08-15,6:30 AM,71.83703703703704,83.0,Unknown,Chicken liver,9.0,1.43,Unknown,Caught during Waxing moon using chicken liver
Guadalupe River,Catfish,2024-07-22,12:00 PM,77.0,74.0,Unknown,Cut bait,25.8,2.565,Unknown,Caught during Waxing moon using cut bait
Canyon Lake,Gar,2024-01-25,8:00 AM,62.0,66.0,Deep,Crayfish,34.2,3.61,Unknown,No additional info
Brazos River,Panfish,2024-05-25,6:30 AM,62.0,62.0,Mid,Unknown,20.55,3.31,Unknown,Caught during New moon using fly
San Marcos River,Gar,2024-01-05,8:00 AM,75.0,73.0,Unknown,Unknown,11.3,1.32,New,No additional info
San Marcos River,Panfish,2024-06-28,6:30 AM,81.0,81.0,Unknown,Small jig,28.5,3.27,Unknown,No additional info
Lake Houston,Catfish,2024-07-12,8:00 AM,78.0,75.0,Deep,Cut bait,19.8,2.565,Unknown,Caught during Waning moon using cut bait
Brazos River,Panfish,2024-11-20,8:00 AM,67.0,70.0,Shallow,Small jig,20.55,2.565,Full,Caught during Full moon using small jig
San Marcos River,Crappie,2024-04-10,8:00 AM,71.83703703703704,74.0,Shallow,Jig,19.8,2.1,Unknown,Caught during Waxing moon using jig
Brazos River,Bass,2024-07-02,6:30 AM,62.0,59.0,Unknown,Unknown,11.9,2.565,Waxing,Caught during Waxing moon using crankbait
San Marcos River,Crappie,2024-09-15,9:00 PM,83.0,73.45801526717557,Deep,Unknown,21.0,2.36,Waxing,No additional info
San Marcos River,Bass,2024-11-17,12:00 PM,71.83703703703704,73.45801526717557,Mid,Soft plastic,32.4,2.565,Waning,Caught during Waning moon using soft plastic
Brazos River,Bass,2024-05-27,12:00 PM,72.0,72.0,Shallow,Crankbait,20.55,2.565,Unknown,Caught during Waxing moon using crankbait
Canyon Lake,Panfish,2024-12-27,5:00 PM,78.0,73.45801526717557,Shallow,Unknown,11.1,2.565,New,Caught during New moon using fly
Lake Travis,Crappie,2024-06-19,8:00 AM,71.83703703703704,68.0,Mid,Tube jig,34.6,3.99,Unknown,Caught during Waning moon using tube jig
Lady Bird Lake,Panfish,2024-07-13,6:30 AM,71.83703703703704,78.0,Shallow,Fly,20.55,1.42,Waning,No additional info
"Paris, TX",Crappie,2024-06-16,6:30 AM,71.83703703703704,78.0,Unknown,Unknown,10.1,1.0,Full,Caught during Full moon using jig
"Paris, TX",Catfish,2024-09-01,5:00 PM,75.0,73.45801526717557,Shallow,Cut bait,28.6,3.37,Unknown,No additional info
Lady Bird Lake,Bass,2024-10-16,6:30 AM,71.83703703703704,73.45801526717557,Shallow,Unknown,17.3,1.72,Full,Caught during Full moon using crankbait
"Paris, TX",Bass,2024-08-16,8:00 AM,83.0,73.45801526717557,Mid,Unknown,20.55,0.7,New,Caught during New moon using soft plastic
"Paris, TX",Crappie,2024-03-04,5:00 PM,60.0,61.0,Mid,Tube jig,9.4,2.565,Unknown,No additional info
"Paris, TX",Bass,2024-09-16,6:30 AM,71.83703703703704,73.45801526717557,Deep,Crankbait,25.1,3.25,New,No additional info
Canyon Lake,Bass,2024-07-28,8:00 AM,70.0,73.45801526717557,Deep,Crankbait,29.6,4.01,Full,No additional info
"Paris, TX",Gar,2024-09-03,6:30 AM,67.0,71.0,Unknown,Unknown,20.55,1.69,Waning,Caught during Waning moon using fish parts
Lady Bird Lake,Panfish,2024-04-01,12:00 PM,62.0,73.45801526717557,Mid,Unknown,19.9,2.565,Waxing,Caught during Waxing moon using fly
"Paris, TX",Panfish,2024-08-19,8:00 AM,71.83703703703704,78.0,Unknown,Fly,31.8,3.9,Full,Caught during Full moon using fly
Guadalupe River,Gar,2024-05-15,6:30 AM,71.83703703703704,77.0,Shallow,Unknown,8.3,2.565,New,Caught during New moon using fish parts
Guadalupe River,Gar,2024-04-13,8:00 AM,65.0,65.0,Deep,Unknown,10.6,2.565,New,Caught during New moon using fish parts
"Paris, TX",Catfish,2024-09-02,12:00 PM,82.0,73.45801526717557,Mid,Chicken liver,27.3,2.565,Unknown,Caught during New moon using chicken liver
"Paris, TX",Bass,2024-12-01,12:00 PM,85.0,73.45801526717557,Unknown,Spinnerbait,25.7,2.565,New,Caught during New moon using spinnerbait
Lake Houston,Crappie,2024-01-18,8:00 AM,71.83703703703704,84.0,Shallow,Unknown,25.5,2.86,Full,Caught during Full moon using minnow
Lady Bird Lake,Crappie,2024-02-13,6:30 AM,60.0,73.45801526717557,Shallow,Tube jig,20.55,2.565,Waxing,Caught during Waxing moon using tube jig
Lake Travis,Gar,2024-04-17,8:00 AM,78.0,80.0,Deep,Fish parts,20.55,2.77,Unknown,No additional info
Canyon Lake,Bass,2024-11-22,12:00 PM,68.0,72.0,Unknown,Unknown,26.8,2.99,Full,No additional info
"Paris, TX",Bass,2024-02-11,8:00 AM,72.0,75.0,Mid,Crankbait,16.4,2.565,Waxing,No additional info
San Marcos River,Bass,2024-01-22,8:00 AM,71.83703703703704,87.0,Unknown,Soft plastic,28.6,3.71,Waxing,Caught during Waxing moon using soft plastic
Canyon Lake,Crappie,2024-04-05,6:30 AM,65.0,73.45801526717557,Unknown,Minnow,11.7,0.92,Unknown,Caught during Full moon using minnow
"Paris, TX",Panfish,2024-05-20,12:00 PM,71.83703703703704,73.45801526717557,Deep,Small jig,10.7,0.95,Unknown,Caught during Waxing moon using small jig
Guadalupe River,Catfish,2024-10-19,8:00 AM,71.83703703703704,73.45801526717557,Unknown,Punch bait,33.1,4.26,New,Caught during New moon using punch bait
Canyon Lake,Panfish,2024-04-15,8:00 AM,70.0,73.45801526717557,Unknown,Small jig,20.55,2.64,Waxing,Caught during Waxing moon using small jig
Lady Bird Lake,Panfish,2024-05-04,8:00 AM,70.0,68.0,Unknown,Small jig,20.55,2.79,Unknown,Caught during Waning moon using small jig
Canyon Lake,Gar,2024-05-08,12:00 PM,69.0,69.0,Shallow,Unknown,17.8,2.26,Unknown,No additional info
San Marcos River,Bass,2024-06-13,9:00 PM,70.0,73.45801526717557,Deep,Spinnerbait,20.55,2.565,New,Caught during New moon using spinnerbait
